type,id,description,browser,timeMs,device,os,name
okra,load,Initial load event,chrome-43.0,104.15999998804182,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2350.20300000906,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,83.91000001574866,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2330.2379999950062,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,87.11500000208616,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2358.427999977721,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,148.49199997843243,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2304.705999995349,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,71.5409999829717,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2336.4789999905042,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,236.15099999005906,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2406.951000011759,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
okra,load,Initial load event,chrome-43.0,226.0859999805689,laptop,ubuntu-14.04-64bit,
okra,10000-echo,,chrome-43.0,2333.203999995021,laptop,ubuntu-14.04-64bit,One 10000 Okra subsequent `get`
plain,load,Initial load event,chrome-43.0,239.57100001280196,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1230.8180000109132,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,112.05500000505708,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1205.4290000232868,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,101.69800001312979,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1217.540999990888,laptop,ubuntu-14.04-64bit,
